koridor,asal,tujuan,nama_halte,lokasi_halte,total_penumpang,rata_penumpang
6,ragunan,galunggung,ragunan,kebun binatang ragunan,119887268,9990605.666666666
6,ragunan,galunggung,departemen pertanian,jl.harsono,119887268,9990605.666666666
6,ragunan,galunggung,smk 57,jl.harsono,119887268,9990605.666666666
6,ragunan,galunggung,jati padang,jl.buncit raya,119887268,9990605.666666666
6,ragunan,galunggung,pejaten,jl.buncit raya,119887268,9990605.666666666
6,ragunan,galunggung,buncit indah,jl.buncit raya,119887268,9990605.666666666
6,ragunan,galunggung,warung jati,jl.buncit raya,119887268,9990605.666666666
6,ragunan,galunggung,imigrasi,jl.buncit raya,119887268,9990605.666666666
6,ragunan,galunggung,duren tiga,jl.buncit raya,119887268,9990605.666666666
6,ragunan,galunggung,mampang prapatan,jl.buncit raya,119887268,9990605.666666666
6,ragunan,galunggung,kuningan timur,jl.rasuna said,119887268,9990605.666666666
6,ragunan,galunggung,patra kuningan,jl.rasuna said,119887268,9990605.666666666
6,ragunan,galunggung,depkes,jl.rasuna said,119887268,9990605.666666666
6,ragunan,galunggung,gor sumantri,jl.rasuna said,119887268,9990605.666666666
6,ragunan,galunggung,karet kuningan,jl.rasuna said,119887268,9990605.666666666
6,ragunan,galunggung,kuningan madya aini,jl.rasuna said,119887268,9990605.666666666
6,ragunan,galunggung,setiabudi utara,jl.rasuna said,119887268,9990605.666666666
6,ragunan,galunggung,latuharhari,jl.latuharhari,119887268,9990605.666666666
6,ragunan,balai kota,ragunan,kebun binatang ragunan,119887268,9990605.666666666
6,ragunan,balai kota,departemen pertanian,jl.harsono,119887268,9990605.666666666
6,ragunan,balai kota,smk 57,jl.harsono,119887268,9990605.666666666
6,ragunan,balai kota,jati padang,jl.buncit raya,119887268,9990605.666666666
6,ragunan,balai kota,pejaten,jl.buncit raya,119887268,9990605.666666666
6,ragunan,balai kota,buncit indah,jl.buncit raya,119887268,9990605.666666666
6,ragunan,balai kota,warung jati,jl.buncit raya,119887268,9990605.666666666
6,ragunan,balai kota,imigrasi,jl.buncit raya,119887268,9990605.666666666
6,ragunan,balai kota,duren tiga,jl.buncit raya,119887268,9990605.666666666
6,ragunan,balai kota,mampang prapatan,jl.buncit raya,119887268,9990605.666666666
6,ragunan,balai kota,kuningan timur,jl.rasuna said,119887268,9990605.666666666
6,ragunan,balai kota,patra kuningan,jl.rasuna said,119887268,9990605.666666666
6,ragunan,balai kota,depkes,jl.rasuna said,119887268,9990605.666666666
6,ragunan,balai kota,gor sumantri,jl.rasuna said,119887268,9990605.666666666
6,ragunan,balai kota,karet kuningan,jl.rasuna said,119887268,9990605.666666666
6,ragunan,balai kota,kuningan madya aini,jl.rasuna said,119887268,9990605.666666666
6,ragunan,balai kota,setiabudi utara,jl.rasuna said,119887268,9990605.666666666
6,ragunan,balai kota,latuharhari,jl.latuharhari,119887268,9990605.666666666
6,stasiun tebet,kuningan,ragunan,kebun binatang ragunan,119887268,9990605.666666666
6,stasiun tebet,kuningan,departemen pertanian,jl.harsono,119887268,9990605.666666666
6,stasiun tebet,kuningan,smk 57,jl.harsono,119887268,9990605.666666666
6,stasiun tebet,kuningan,jati padang,jl.buncit raya,119887268,9990605.666666666
6,stasiun tebet,kuningan,pejaten,jl.buncit raya,119887268,9990605.666666666
6,stasiun tebet,kuningan,buncit indah,jl.buncit raya,119887268,9990605.666666666
6,stasiun tebet,kuningan,warung jati,jl.buncit raya,119887268,9990605.666666666
6,stasiun tebet,kuningan,imigrasi,jl.buncit raya,119887268,9990605.666666666
6,stasiun tebet,kuningan,duren tiga,jl.buncit raya,119887268,9990605.666666666
6,stasiun tebet,kuningan,mampang prapatan,jl.buncit raya,119887268,9990605.666666666
6,stasiun tebet,kuningan,kuningan timur,jl.rasuna said,119887268,9990605.666666666
6,stasiun tebet,kuningan,patra kuningan,jl.rasuna said,119887268,9990605.666666666
6,stasiun tebet,kuningan,depkes,jl.rasuna said,119887268,9990605.666666666
6,stasiun tebet,kuningan,gor sumantri,jl.rasuna said,119887268,9990605.666666666
6,stasiun tebet,kuningan,karet kuningan,jl.rasuna said,119887268,9990605.666666666
6,stasiun tebet,kuningan,kuningan madya aini,jl.rasuna said,119887268,9990605.666666666
6,stasiun tebet,kuningan,setiabudi utara,jl.rasuna said,119887268,9990605.666666666
6,stasiun tebet,kuningan,latuharhari,jl.latuharhari,119887268,9990605.666666666
6,stasiun tebet,bundaran senayan,ragunan,kebun binatang ragunan,119887268,9990605.666666666
6,stasiun tebet,bundaran senayan,departemen pertanian,jl.harsono,119887268,9990605.666666666
6,stasiun tebet,bundaran senayan,smk 57,jl.harsono,119887268,9990605.666666666
6,stasiun tebet,bundaran senayan,jati padang,jl.buncit raya,119887268,9990605.666666666
6,stasiun tebet,bundaran senayan,pejaten,jl.buncit raya,119887268,9990605.666666666
6,stasiun tebet,bundaran senayan,buncit indah,jl.buncit raya,119887268,9990605.666666666
6,stasiun tebet,bundaran senayan,warung jati,jl.buncit raya,119887268,9990605.666666666
6,stasiun tebet,bundaran senayan,imigrasi,jl.buncit raya,119887268,9990605.666666666
6,stasiun tebet,bundaran senayan,duren tiga,jl.buncit raya,119887268,9990605.666666666
6,stasiun tebet,bundaran senayan,mampang prapatan,jl.buncit raya,119887268,9990605.666666666
6,stasiun tebet,bundaran senayan,kuningan timur,jl.rasuna said,119887268,9990605.666666666
6,stasiun tebet,bundaran senayan,patra kuningan,jl.rasuna said,119887268,9990605.666666666
6,stasiun tebet,bundaran senayan,depkes,jl.rasuna said,119887268,9990605.666666666
6,stasiun tebet,bundaran senayan,gor sumantri,jl.rasuna said,119887268,9990605.666666666
6,stasiun tebet,bundaran senayan,karet kuningan,jl.rasuna said,119887268,9990605.666666666
6,stasiun tebet,bundaran senayan,kuningan madya aini,jl.rasuna said,119887268,9990605.666666666
6,stasiun tebet,bundaran senayan,setiabudi utara,jl.rasuna said,119887268,9990605.666666666
6,stasiun tebet,bundaran senayan,latuharhari,jl.latuharhari,119887268,9990605.666666666
6,senen,lebak bulus,ragunan,kebun binatang ragunan,119887268,9990605.666666666
6,senen,lebak bulus,departemen pertanian,jl.harsono,119887268,9990605.666666666
6,senen,lebak bulus,smk 57,jl.harsono,119887268,9990605.666666666
6,senen,lebak bulus,jati padang,jl.buncit raya,119887268,9990605.666666666
6,senen,lebak bulus,pejaten,jl.buncit raya,119887268,9990605.666666666
6,senen,lebak bulus,buncit indah,jl.buncit raya,119887268,9990605.666666666
6,senen,lebak bulus,warung jati,jl.buncit raya,119887268,9990605.666666666
